BRA_BRAND_NO;BRA_SHORT_NAME;VIEW_TERM_PLAIN
3183;FILFILTER;FIL FILTER
3184;GEHL;GEHL
3185;GIF;GIF
3186;XINKAI;XINKAI
3187;H.HESS/MEY;MEYER MOTOREN
3188;GOETZE ENG;GOETZE ENGINE
3189;H.HESS/THU;THULE
3190;BAIYUN;BAIYUN
3191;WANFENG;WANFENG
3192;JIANGHAN;JIANGHAN
3193;YUEJIN;YUEJIN
3194;YUNQUE;CARLARKY
3195;GUIZHOU;GUIZHOU
3196;GAC;GAC
3197;KLAXCAR;KLAXCAR FRANCE
3198;SOLIDAUTO;SOLID AUTO (UK)
3199;SUZUKI CHH;SUZUKI (CHANGHE)
3201;ADR;ADR
3202;ROEWE SAIC;ROEWE (SAIC)
3203;H.HESS/JAE;JAEGER
3204;MOTORAD;MOTORAD
3205;GLYSANTIN;GLYSANTIN
3206;SUPLEX;SUPLEX
3207;CEVAM;CEVAM
3209;ANVIS;ANVIS France
3210;BOSCH AMAZ;BOSCH
3211;JANMOR;JANMOR
3212;EUROL;EUROL
3213;LASO;LASO
3214;EXEDY;EXEDY
3215;ROC;ROC
3216;KME;KME
3217;LUBERFINER;LUBERFINER
3218;RTS;RTS
3219;MAXGEAR;MAXGEAR
3220;FRAS-LE;FRAS-LE
3221;CAUTEX;CAUTEX
3222;BM CATALYS;BM CATALYSTS
3223;FIRST LINE;FIRST LINE
3224;SNRA;SNRA
3225;AD PARTS;AD
3226;COMMA;COMMA
3227;EUROCABLE;EUROCABLE
3228;ATL;ATL Autotechnik
3229;DJ AUTO;DJ AUTO
3230;HIRSCH/RIC;RICAMBIFLEX
3231;HIRSCH/TEC;TECNOFLEX
3232;HIRSCH/FRE;FREMAX
3233;HIRSCH/SEB;SEBRO
3234;HIRSCH/MOT;MOTORAD
3235;HIRSCH/GUA;GUARNIT
3236;IJS;IJS
3237;SONAX;SONAX
3238;FERMIT;FERMIT
3239;DAFMI;DAFMI
3240;PERFECT_C;PERFECT CIRCLE
3241;ANCO;ANCO
3242;COMLINE;COMLINE
3243;AHE;AHE
3244;ROCKIINGER;ROCKINGER
3245;JOST;JOST
3246;REGENSBURG;REGENSBURGER
3247;RINGFEDER;RINGFEDER
3248;TINNEMANS;TINNEMANS
3249;HATZDIESEL;HATZ DIESEL
3250;LUCAS_DIES;LUCAS DIESEL
3251;LUCAS_ENGI;LUCAS ENGINE DRIVE
3252;HC-PARTS;HC-PARTS
3253;MONOFLEX;MONOFLEX
3254;HEXEN;HEXEN
3255;WAT;WAT
3256;SERCORE;SERCORE
3257;DE JONGHE;DE JONGHE AUTOPARTS
3258;APPROVED G;APPROVED GREEN
